name,family,n_rows,n_cols,n_vertices,n_edges,n_faces,euler_check,handshake_check,invariants_ok,n_faces_3,n_faces_4,n_faces_5,n_faces_6,n_faces_7,n_faces_8,n_faces_9,n_faces_10,n_faces_11,n_faces_12,n_faces_ge13,mean_face_size,std_face_size,n_distinct_face_sizes,mean_edge_length,std_edge_length,min_edge_length,max_edge_length,n_reentrant_angles,n_reentrant_vertices,frac_reentrant_vertices,mean_vertex_min_angle,mean_vertex_max_angle,cell_area,edge_density,K_beam,G_beam,K_over_G_beam,nu_anisotropy_beam,fam_token_3,fam_token_4,fam_token_5,fam_token_6,fam_token_7,fam_token_8,fam_token_9,fam_token_10,fam_token_11,fam_token_12,nu_min_spring,nu_max_spring,spring_classification,nu_min_beam,nu_max_beam,beam_classification,is_homogeneous_auxetic,is_directional_auxetic
4x4_101,3_4_6_7,4,4,10,20,10,0,0,1,5,3,0,1,1,0,0,0,0,0,0,4.0,1.3416407864998738,4,0.3164213562373095,0.07827851120800443,0.25,0.5,0,0,0.0,1.0210176124166828,2.356194490192345,15.999999999999998,1.2500000000000002,0.27463285439161367,0.07219892874446077,3.8038355854786006,0.6359550261235002,1,1,0,1,1,0,0,0,0,0,0.3509026649411821,0.9888216086921926,non_auxetic,0.35402668376767343,0.9899817098911736,non_auxetic,0,0
4x4_195,3_4_6_7,4,4,13,26,13,0,0,1,5,6,0,1,1,0,0,0,0,0,0,4.0,1.1766968108291043,4,0.2738969362907555,0.04362963687236872,0.25,0.3535533905932738,0,0,0.0,1.0874743800887745,2.174948760177549,15.999999999999998,1.6250000000000002,0.14410587797374458,0.0911496703008759,1.5809807923392982,0.8589634544097087,1,1,0,1,1,0,0,0,0,0,0.0775939433813653,0.8934864052199736,non_auxetic,0.04437383107946414,0.9033372854891728,non_auxetic,0,0
3x5_240,3_4_5_6_7,3,5,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3151082162699146,0.10963550224413654,0.19999999999999996,0.6666666666666666,0,0,0.0,0.955056087391868,2.565806518935571,15.0,1.4666666666666666,0.2381236373856446,0.1251984770590661,1.9019691211842995,0.968677204894449,1,1,1,1,1,0,0,0,0,0,0.0052460725023934975,0.9615223128334206,non_auxetic,0.005140514982270355,0.9738177198767193,non_auxetic,0,0
3x5_249,3_4_5_6_7,3,5,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3151082162699146,0.10963550224413655,0.19999999999999996,0.6666666666666666,0,0,0.0,0.8613854667987486,2.6594771395286902,15.0,1.4666666666666666,0.16452327386231053,0.08692137611174384,1.8927826643103731,0.9055512833512214,1,1,1,1,1,0,0,0,0,0,0.00994082136102247,0.8712112580555319,non_auxetic,0.010085273423723031,0.9156365567749444,non_auxetic,0,0
3x5_397,3_4_5_6_7,3,5,10,20,10,0,0,1,6,1,1,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,5,0.3521587171958747,0.10212092022401875,0.19999999999999996,0.6666666666666666,1,1,0.1,0.6384109655213297,2.7243957055783827,15.0,1.3333333333333333,0.07833265798966922,0.05198016844873539,1.5069719919611948,0.9973524507977051,1,1,1,1,1,0,0,0,0,0,-0.019389901956061,0.902608638902672,directionally_auxetic,-0.07998367571765512,0.91736877508005,directionally_auxetic,0,1
3x5_443,3_4_5_6_7,3,5,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3332900344517328,0.10554608072962741,0.19999999999999996,0.6666666666666666,2,2,0.18181818181818182,0.772302316570798,2.8559933214452666,15.0,1.4666666666666666,0.11451684875719732,0.0707547571514517,1.6185038768781603,1.219102172210021,1,1,1,1,1,0,0,0,0,0,-0.24484173121921915,0.9556343791880596,directionally_auxetic,-0.20193626209061005,1.017165910119411,directionally_auxetic,0,1
3x5_444,3_4_5_6_7,3,5,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3332900344517328,0.10554608072962741,0.19999999999999996,0.6666666666666666,2,2,0.18181818181818182,0.8613854667987486,2.574981459665908,15.0,1.4666666666666666,0.11531184476435048,0.08363844835817742,1.3786942133423297,1.3489668452971304,1,1,1,1,1,0,0,0,0,0,-0.29118937672917977,0.972176826406753,directionally_auxetic,-0.3489069431953562,1.0000599021017742,directionally_auxetic,0,1
3x5_94,3_4_5_6_7,3,5,12,24,12,0,0,1,6,3,1,1,1,0,0,0,0,0,0,4.0,1.2909944487358056,5,0.32077379737113254,0.08092351552267156,0.19999999999999996,0.4,2,2,0.16666666666666666,0.8754680801092123,2.622199059159566,15.0,1.6,0.026556657390124423,0.052456670457847736,0.5062589210930645,1.5412408500126724,1,1,1,1,1,0,0,0,0,0,-0.6425126274427367,0.9064268436265205,directionally_auxetic,-0.755506143220673,0.7857347067919994,directionally_auxetic,0,1
4x3_490,3_4_5_6_7,4,3,10,20,10,0,0,1,6,1,1,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,5,0.3416666666666667,0.0982485510212633,0.25,0.6666666666666666,1,1,0.1,0.821368863355944,2.734703866430652,12.0,1.6666666666666667,0.1369169781125295,0.10308110511809339,1.3282451517731841,4.59919273751915,1,1,1,1,1,0,0,0,0,0,-1.6513493088715103,2.267643469909397,directionally_auxetic,-1.9558801290521544,2.6433126084669953,directionally_auxetic,0,1
4x4_52,3_4_5_6_7,4,4,10,20,10,0,0,1,6,1,1,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,5,0.30606601717798215,0.07952102318762724,0.25,0.5,0,0,0.0,1.0210176124166828,2.356194490192345,15.999999999999998,1.2500000000000002,0.15915148584322814,0.07526086907674312,2.1146644703364,1.148391235273461,1,1,1,1,1,0,0,0,0,0,0.06578107384357201,0.948082475379195,non_auxetic,0.03313564965164409,1.1815268849251053,non_auxetic,0,0
